<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
        1    0.000    0.000    0.001    0.001 _data.py:11(<module>)
      422    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mstats_basic.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:15(<module>)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     1017    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        7    0.000    0.000    0.001    0.000 nonlin.py:1610(_nonlin_wrapper)
        1    0.000    0.000    0.001    0.001 reduction.py:11(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:223(decorator)
        1    0.000    0.000    0.001    0.001 process_executor.py:16(<module>)
     1042    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 csr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 relextract.py:8(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fitpack.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interpolation.py:31(<module>)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
     6830    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      383    0.000    0.000    0.001    0.000 inspect.py:2890(replace)
        1    0.000    0.000    0.001    0.001 drt.py:9(<module>)
       12    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
     1484    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.001    0.001 grammar.py:1234(fromstring)
        1    0.000    0.000    0.001    0.001 verbnet.py:8(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:52(decorator)
      296    0.001    0.000    0.001    0.000 enum.py:953(__and__)
        1    0.000    0.000    0.001    0.001 verbnet.py:22(VerbnetCorpusReader)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:41(decorate)
        1    0.000    0.000    0.001    0.001 _hypotests.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
     3324    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
     2990    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.001    0.001 probability.py:15(<module>)
       28    0.001    0.000    0.001    0.000 inspect.py:626(cleandoc)
        1    0.000    0.000    0.001    0.001 _twenty_newsgroups.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 discourse.py:9(<module>)
     2990    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.001    0.001 snowball.py:16(<module>)
        1    0.000    0.000    0.001    0.001 data.py:8(<module>)
        1    0.000    0.000    0.001    0.001 brill.py:10(<module>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        2    0.000    0.000    0.001    0.001 version.py:1(<module>)
     16/5    0.000    0.000    0.001    0.000 _regex_core.py:382(_parse_pattern)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 lexicon.py:241(fromstring)
     3769    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     19/5    0.000    0.000    0.001    0.000 _regex_core.py:392(parse_sequence)
        1    0.000    0.000    0.001    0.001 numpy_pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 panlex_lite.py:8(<module>)
        1    0.000    0.000    0.001    0.001 sputils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
      309    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 bleu_score.py:9(<module>)
     7742    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backports.py:1(<module>)
     11/6    0.000    0.000    0.001    0.000 _regex_core.py:768(parse_paren)
       13    0.000    0.000    0.001    0.000 enum.py:521(<listcomp>)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        5    0.000    0.000    0.001    0.000 dataclasses.py:550(_frozen_get_del_attr)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
        1    0.000    0.000    0.001    0.001 pl196x.py:8(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contingency.py:1(<module>)
      498    0.001    0.000    0.001    0.000 function_base.py:2103(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arpack.py:1(<module>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
